,UTM,매출,장바구니 금액,지출 금액 (KRW),ROAS,광고 게재,광고 세트 예산,광고 세트 이름,주문,구매 개수,구매자,ARPPU,객단가,매출,주문,구매 개수,방문자,방문자,구매자,신규 구매자,전환률(방문-구매),장바구니 유저,장바구니 금액,장바구니 개수,전환률(방문-장바구니 담기),전환률(장바구니-구매),광고 게재,광고 세트 이름,입찰가,입찰 유형,광고 세트 예산,광고 세트 예산 유형,최근 영향이 큰 변경,기여 설정,결과,결과 표시 도구,도달,노출,결과당 비용,품질 순위,참여율 순위,전환율 순위,지출 금액 (KRW),종료,catalog_segment_value_omni_purchase_roas:omni_purchase,공유 항목의 웹사이트 구매 ROAS만,공유 항목의 모바일 앱 구매 ROAS만,,,
,my-offshoulder-17-video-jestinna-03saletagDangle-240315,"₩112,358","₩3,561,491","₩104,418",108%,inactive,"₩30,000",오프숄더_영상_03영어_240315,3,3,3,"₩37,453","₩37,453",401.28,3,3,378,377,3,3,0.80%,46,"12,719.61",83,12.20%,6.52%,inactive,오프숄더_영상_03영어_240315,0,ABSOLUTE_OCPM,30000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,21959,32046,,-,-,-,104418,진행 중,,,,,,
,my-offshoulder-14-video-jestinna-03slide-240315,"₩40,939","₩2,431,128","₩65,400",63%,inactive,"₩30,000",오프숄더_영상_03영어_240315,1,1,1,"₩40,939","₩40,939",146.21,1,1,233,233,1,0,0.43%,32,"8,682.60",55,13.73%,3.12%,inactive,오프숄더_영상_03영어_240315,0,ABSOLUTE_OCPM,30000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,12762,18089,,-,-,-,65400,진행 중,,,,,,
,my-offshoulder-25-video-jestinna-05triplePop-240315,"₩36,739","₩344,268","₩59,219",62%,not_delivering,"₩20,000",메인_영상_05영어_240315,1,1,1,"₩36,739","₩36,739",131.21,1,1,107,107,1,1,0.93%,5,"1,229.53",8,4.67%,20.00%,not_delivering,메인_영상_05영어_240315,0,ABSOLUTE_OCPM,20000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,9249,15131,,-,-,-,59219,진행 중,,,,,,
,my-offshoulder-7-video-jestinna-01saletagDangle-240315,"₩151,136","₩3,975,838","₩313,131",48%,inactive,"₩30,000",오프숄더_영상_01영어_240315,4,4,4,"₩37,784","₩37,784",539.77,4,4,726,726,4,4,0.55%,59,"14,199.42",91,8.13%,6.78%,inactive,오프숄더_영상_01영어_240315,0,ABSOLUTE_OCPM,30000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,98183,147999,,-,-,-,313131,진행 중,,,,,,
,my-offshoulder-23-video-jestinna-04singlePop-240315,"₩36,739","₩4,075,803","₩76,912",48%,inactive,"₩40,000",오프숄더_영상_04영어_240315,1,1,1,"₩36,739","₩36,739",131.21,1,1,514,514,1,1,0.19%,64,"14,556.44",96,12.45%,1.56%,inactive,오프숄더_영상_04영어_240315,0,ABSOLUTE_OCPM,40000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,22780,27815,,-,-,-,76912,진행 중,,,,,,
,my-main-7-video-jestinna-05tagspecial-240317,"₩46,648","₩456,711","₩110,181",42%,not_delivering,"₩50,000",메인_영상_05영어_240317,1,1,1,"₩46,648","₩46,648",166.6,1,1,120,120,1,1,0.83%,4,"1,631.11",10,3.33%,25.00%,not_delivering,메인_영상_05영어_240317,0,ABSOLUTE_OCPM,50000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,15271,29667,,-,-,-,110181,진행 중,0.393165,,0.393165,,,
,my-main-11-video-jestinna-05itempopid-240317,"₩30,568","₩473,754","₩74,375",41%,not_delivering,"₩50,000",메인_영상_05영어_240317,1,1,1,"₩30,568","₩30,568",109.17,1,1,96,94,1,1,1.06%,6,"1,691.98",10,6.38%,16.67%,not_delivering,메인_영상_05영어_240317,0,ABSOLUTE_OCPM,50000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,10200,18308,,-,-,-,74375,진행 중,,,,,,
,my-offshoulder-5-video-jestinna-01triplePop-240315,₩0,"₩94,993","₩4,673",0%,inactive,"₩30,000",오프숄더_영상_01영어_240315,0,0,0,#DIV/0!,#DIV/0!,0,0,0,15,15,0,0,0.00%,1,339.26,2,6.67%,0.00%,inactive,오프숄더_영상_01영어_240315,0,ABSOLUTE_OCPM,30000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,1034,1181,,-,-,-,4673,진행 중,,,,,,
,my-offshoulder-6-video-jestinna-01saletagPop-240315,₩0,"₩290,270","₩8,909",0%,inactive,"₩30,000",오프숄더_영상_01영어_240315,0,0,0,#DIV/0!,#DIV/0!,0,0,0,36,36,0,0,0.00%,4,"1,036.68",7,11.11%,0.00%,inactive,오프숄더_영상_01영어_240315,0,ABSOLUTE_OCPM,30000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,2439,2735,,-,-,-,8909,진행 중,,,,,,
,my-main-2-video-jestinna-02portrait-240315,₩0,"₩84,414","₩19,236",0%,inactive,"₩30,000",오프숄더_영상_02영어_240315,0,0,0,#DIV/0!,#DIV/0!,0,0,0,36,36,0,0,0.00%,1.00,301.48,2,2.78%,0.00%,inactive,오프숄더_영상_02영어_240315,0,ABSOLUTE_OCPM,30000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,5385,7965,,-,-,-,19236,진행 중,,,,,,
